"","Rk","Player","Age","Team","Pos","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD","TD%","Int","Int%","1D","Succ%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","QBR","Sk","Yds","Sk%","NY/A","ANY/A","4QC","GWD","Awards","Year"
"1",1,"Justin Herbert",27,"LAC","QB",7,7,"4-3-0",183,271,67.5,1913,13,4.8,6,2.2,89,48.1,60,7.1,7.02,10.5,273.3,94.5,63.1,20,121,6.87,6.16,6.12,2,2,NA,2025
"2",2,"Dak Prescott",32,"DAL","QB",7,7,"3-3-1",185,259,71.4,1881,16,6.2,3,1.2,91,49.1,74,7.3,7.98,10.2,268.7,107.6,81.2,8,43,3,6.88,7.58,2,1,NA,2025
"3",3,"Matthew Stafford",37,"LAR","QB",7,7,"5-2-0",160,242,66.1,1866,17,7,2,0.8,92,52.6,88,7.7,8.74,11.7,266.6,109.3,66,11,69,4.35,7.1,8.09,1,1,NA,2025
"4",4,"Patrick Mahomes",30,"KAN","QB",7,7,"4-3-0",164,248,66.1,1800,14,5.6,2,0.8,91,52.9,49,7.3,8.02,11,257.1,102.9,77.7,11,70,4.25,6.68,7.41,0,0,NA,2025
"5",5,"Daniel Jones",28,"IND","QB",7,7,"6-1-0",152,214,71,1790,10,4.7,3,1.4,89,57.3,75,8.4,8.67,11.8,255.7,105.9,80.2,6,48,2.73,7.92,8.21,2,2,NA,2025
"6",6,"Baker Mayfield",30,"TAM","QB",7,7,"5-2-0",157,245,64.1,1767,13,5.3,2,0.8,78,41.3,77,7.2,7.91,11.3,252.4,99.8,63.5,14,92,5.41,6.47,7.12,4,4,NA,2025
"7",7,"Sam Darnold",28,"SEA","QB",7,7,"5-2-0",131,192,68.2,1754,12,6.3,4,2.1,77,48.3,61,9.1,9.45,13.4,250.6,109.2,72.5,9,58,4.48,8.44,8.74,0,2,NA,2025
"8",8,"Drake Maye",23,"NWE","QB",7,7,"5-2-0",152,202,75.2,1744,12,5.9,2,1,82,52.7,55,8.6,9.38,11.5,249.1,116.4,76.8,22,77,9.82,7.44,8.11,0,1,NA,2025
"9",9,"Jared Goff",31,"DET","QB",7,7,"5-2-0",152,203,74.9,1631,15,7.4,3,1.5,83,53.7,64,8,8.85,10.7,233,116.4,66.6,13,69,6.02,7.23,8,0,1,NA,2025
"10",10,"Trevor Lawrence",26,"JAX","QB",7,7,"4-3-0",152,259,58.7,1620,9,3.5,5,1.9,76,39.8,46,6.3,6.08,10.7,231.4,80.6,42.7,20,114,7.17,5.4,5.24,1,2,NA,2025
